location_id,location_name,provider_id,provider_name,local_authority,postcode,registration_date,rating_as_published,rating_publication_date,inherited_rating,service_types,service_user_bands,supported_living,provider_country_domiciliary_locations,provider_territory_locations,cqc_url,provider_website,source_edition,weekly_crosscheck_edition,source_retrieved_date,monthly_source_row
1-409194469,Cherish Home Care Limited,1-101671876,Cherish Home Care Ltd,Birmingham,B73 5DA,2012-04-13,Good,2019-04-13,N,Domiciliary care service,Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Sensory Impairment,N,2,1,https://www.cqc.org.uk/location/1-409194469,www.cherishhomecare.co.uk,2026-09-01,2026-09-02,2026-09-08,41030
1-13814354371,Choice Health Care - Birmingham,1-11996018007,Choice Health Care Limited,Birmingham,B11 2AA,2022-08-25,,,,Domiciliary care service; Supported living service,Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-13814354371,www.choice-hc.co.uk/,2026-09-01,2026-09-02,2026-09-08,12523
1-18386788641,Choice Support Care Ltd,1-10840739432,Choice Support Care Ltd,Birmingham,B18 4HB,2024-01-18,,,,Domiciliary care service,Older People; Younger Adults,N,1,1,https://www.cqc.org.uk/location/1-18386788641,www.choicesupportcareltd.co.uk,2026-09-01,2026-09-02,2026-09-08,19872
1-2427112311,Choices Care Ltd (Birmingham),1-467970437,Choices Care Ltd,Birmingham,B11 2AA,2016-03-17,Good,2026-07-01,N,Domiciliary care service,Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Sensory Impairment; Younger Adults,N,4,1,https://www.cqc.org.uk/location/1-2427112311,www.choicescare.org,2026-09-01,2026-09-02,2026-09-08,31958
1-23236585428,Olivet,1-22810884649,Christadelphian Care Homes,Birmingham,B27 6AD,2025-07-29,Good,2018-10-23,Y,Care home service with nursing; Domiciliary care service,Dementia; Mental Health; Older People; Physical Disability; Younger Adults,N,1,1,https://www.cqc.org.uk/location/1-23236585428,,2026-09-01,2026-09-02,2026-09-08,30599
1-14518917943,Clara Barton's Care Services,1-13931834888,Clara Barton's Care Services Ltd,Birmingham,B26 3NW,2022-12-06,,,,Domiciliary care service,Children 0-18 years; Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Younger Adults,N,1,1,https://www.cqc.org.uk/location/1-14518917943,www.clarabartons.com,2026-09-01,2026-09-02,2026-09-08,14213
1-1973151376,Clarence Care Ltd,1-436724647,Clarence Care Limited,Birmingham,B38 8RS,2015-03-10,Good,2019-02-05,N,Domiciliary care service,Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; People who misuse drugs and alcohol; People with an eating disorder; Physical Disability; Sensory Impairment,N,1,1,https://www.cqc.org.uk/location/1-1973151376,www.clarencecare.co.uk,2026-09-01,2026-09-02,2026-09-08,23409
1-15303501099,10 The Green,1-15018710543,Clarity Care Living Ltd,Birmingham,B31 5HT,2023-05-23,,,,Domiciliary care service; Supported living service,Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-15303501099,www.claritycareliving.co.uk,2026-09-01,2026-09-02,2026-09-08,15901
1-27000963245,Clear Choice Care Solutions Limited,1-18822112432,Clear Choice Care Solutions Limited,Birmingham,B12 0NS,2026-02-26,,,,Domiciliary care service; Supported living service,Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-27000963245,www.clearchoicecaresolutions.co.uk,2026-09-01,2026-09-02,2026-09-08,35470
1-6049488886,Comfort Homes and Care Ltd,1-5592084952,Comfort Homes and Care Limited,Birmingham,B11 2AA,2019-02-22,Good,2020-03-07,N,Domiciliary care service; Supported living service,Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-6049488886,,2026-09-01,2026-09-02,2026-09-08,49206
1-23037174785,Compass Care Services Ltd,1-21275256085,Compass Care Services Ltd,Birmingham,B11 2AA,2025-05-06,,,,Domiciliary care service,Dementia; Mental Health; Older People; Physical Disability; Younger Adults,N,1,1,https://www.cqc.org.uk/location/1-23037174785,www.compasscareservice.com,2026-09-01,2026-09-02,2026-09-08,30316
1-11506491838,Cornerstone Professional Care Ltd,1-9352498095,Cornerstone Professional Care Ltd,Birmingham,B18 7DL,2022-05-17,Not Rated,,N,Domiciliary care service; Supported living service,Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment,Y,1,1,https://www.cqc.org.uk/location/1-11506491838,www.cornerstoneprofessionalcare.com,2026-09-01,2026-09-02,2026-09-08,3550
1-450245368,Littleton House,1-441061316,Crowne Home Care Limited,Birmingham,B45 0JD,2012-09-26,Good,2022-05-04,N,Domiciliary care service; Supported living service,Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-450245368,,2026-09-01,2026-09-02,2026-09-08,42119
1-350438194,DT Care Services,1-321248581,DT Care Services Ltd,Birmingham,B28 9HA,2011-12-20,Good,2019-05-25,N,Domiciliary care service; Supported living service,Children 0-18 years; Dementia; Learning disabilities or autistic spectrum disorder; Older People; Physical Disability; Sensory Impairment,Y,1,1,https://www.cqc.org.uk/location/1-350438194,www.dtcareservices.co.uk,2026-09-01,2026-09-02,2026-09-08,39544
1-2300927102,Dolphin Healthcare Services,1-2239281679,Delight Essential Services UK Limited,Birmingham,B26 2RU,2015-12-04,Not Rated,,N,Domiciliary care service; Extra Care housing services; Shared Lives; Supported living service,Children 0-18 years; Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Sensory Impairment; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-2300927102,www.dolphinhealthcare.co.uk,2026-09-01,2026-09-02,2026-09-08,30268
1-14373841975,Desired Care 4 U Limited Birmingham,1-370843088,Desired Care 4 U Limited,Birmingham,B17 8JF,2022-11-14,,,,Domiciliary care service,Dementia; Learning disabilities or autistic spectrum disorder; Older People; Physical Disability; Sensory Impairment; Younger Adults,N,2,1,https://www.cqc.org.uk/location/1-14373841975,www.desiredcare.co.uk,2026-09-01,2026-09-02,2026-09-08,13880
1-1428451467,Diverse Care Services,1-689614085,Diverse Care Services Limited,Birmingham,B26 3NW,2014-05-27,Not Rated,,N,Domiciliary care service; Supported living service,Children 0-18 years; Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Sensory Impairment; Younger Adults,Y,2,1,https://www.cqc.org.uk/location/1-1428451467,www.diversecareltd.co.uk,2026-09-01,2026-09-02,2026-09-08,13663
1-6842859284,Diverse City Care Ltd,1-6786316671,Diverse City Care Ltd,Birmingham,B5 6BJ,2019-06-14,Good,2021-11-13,N,Domiciliary care service,Children 0-18 years; Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Sensory Impairment; Younger Adults,N,1,1,https://www.cqc.org.uk/location/1-6842859284,www.diversecitycare.co.uk,2026-09-01,2026-09-02,2026-09-08,50688
1-3727554964,Divine Intervention Home Care Limited,1-3551501867,Divine Intervention Home Care Limited,Birmingham,B28 8JG,2017-04-20,Not Rated,,N,Domiciliary care service; Supported living service,Children 0-18 years; Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Sensory Impairment; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-3727554964,www.dihomecare.co.uk,2026-09-01,2026-09-02,2026-09-08,40161
1-2695980058,Dwell Homecare Limited,1-2555699700,Dwell Homecare Limited,Birmingham,B14 7JG,2016-08-09,Good,2019-05-29,N,Domiciliary care service,Dementia; Learning disabilities or autistic spectrum disorder; Older People; Physical Disability; Sensory Impairment; Younger Adults,N,1,1,https://www.cqc.org.uk/location/1-2695980058,,2026-09-01,2026-09-02,2026-09-08,35434
1-25512414515,Ecohomes Care Ltd,1-23104973204,Ecohomes Care Ltd,Birmingham,B24 9FE,2025-11-06,,,,Domiciliary care service,Older People; Physical Disability; Younger Adults,N,1,1,https://www.cqc.org.uk/location/1-25512414515,www.ecohomescare.co.uk,2026-09-01,2026-09-02,2026-09-08,33549
1-20295193040,Edansupport Limited,1-18387142046,Edansupport Limited,Birmingham,B44 8NH,2024-11-13,,,,Domiciliary care service; Supported living service,Older People; Physical Disability; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-20295193040,www.edansupport.co.uk,2026-09-01,2026-09-02,2026-09-08,25626
1-3154262922,Elegant Living Care Office,1-2980994353,Elegant Living Care Ltd,Birmingham,B16 8XF,2017-01-04,Good,2019-05-15,N,Domiciliary care service; Supported living service,Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-3154262922,,2026-09-01,2026-09-02,2026-09-08,38840
1-1588568404,Elite Care and Support Services,1-509862581,Elite Care Homes Ltd,Birmingham,B12 0HG,2014-08-20,Requires improvement,2019-04-12,N,Community health care services - Nurses Agency only; Domiciliary care service; Supported living service,Mental Health; Older People; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-1588568404,www.elitecarehomes.com,2026-09-01,2026-09-02,2026-09-08,16709
1-562133340,Embec Care Limited,1-497747725,Embec Care Limited,Birmingham,B75 5BY,2013-01-31,Good,2019-07-16,N,Domiciliary care service,Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Younger Adults,N,1,1,https://www.cqc.org.uk/location/1-562133340,www.embeccare.co.uk,2026-09-01,2026-09-02,2026-09-08,47179
1-18773703134,Empathy Care Services Birmingham,1-8846211889,Empathy Care Services Limited,Birmingham,B45 9AH,2024-03-13,,,,Domiciliary care service,Older People; Younger Adults,N,2,1,https://www.cqc.org.uk/location/1-18773703134,,2026-09-01,2026-09-02,2026-09-08,20499
1-6987313564,Epic Care Services Limited,1-6792174541,Epic Care Services Limited,Birmingham,B16 9NX,2019-06-19,Good,2022-12-13,N,Domiciliary care service; Supported living service,Children 0-18 years; Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Sensory Impairment; Younger Adults,Y,2,1,https://www.cqc.org.uk/location/1-6987313564,www.epiccareservices.uk/epic.html,2026-09-01,2026-09-02,2026-09-08,50930
1-6037207160,EroHealthCare Ltd,1-5730542790,EroHealthCare Ltd,Birmingham,B23 6LR,2018-11-16,Requires improvement,2021-12-10,N,Domiciliary care service; Supported living service,Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; People with an eating disorder; Physical Disability; Sensory Impairment; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-6037207160,www.erohealthcare.com,2026-09-01,2026-09-02,2026-09-08,49186
1-9414045580,Esmero Care Services Limited,1-7807118531,Esmero Care Services Limited,Birmingham,B11 2AA,2020-08-20,Requires improvement,2022-02-04,N,Domiciliary care service; Supported living service,Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-9414045580,www.esmerocareservices.co.uk,2026-09-01,2026-09-02,2026-09-08,54355
1-13044572799,Evergreen Care Provider Limited,1-2018525909,Evergreen Care Provider Limited,Birmingham,B44 8NH,2022-04-27,Good,2019-06-28,Y,Domiciliary care service; Supported living service,Children 0-18 years; Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Sensory Impairment; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-13044572799,,2026-09-01,2026-09-02,2026-09-08,10230
1-26682155005,Express Care at Home,1-23303668656,Express Nursing Limited,Birmingham,B3 1QS,2026-01-30,,,,Domiciliary care service,Mental Health; Physical Disability; Sensory Impairment; Whole Population,N,1,1,https://www.cqc.org.uk/location/1-26682155005,www.express-nursing.co.uk,2026-09-01,2026-09-02,2026-09-08,35078
1-13634729916,Faith & Hope Ltd,1-11457811827,Faith & Hope Ltd,Birmingham,B29 5UN,2022-07-27,,,,Domiciliary care service; Supported living service,Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Sensory Impairment; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-13634729916,www.faithandhophc.uk,2026-09-01,2026-09-02,2026-09-08,12051
1-18294169785,First Active 365 Homecare,1-17026760671,First Active 365 Homecare Limited,Birmingham,B5 4BD,2024-01-08,,,,Domiciliary care service,Children 0-18 years; Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Sensory Impairment; Younger Adults,N,1,1,https://www.cqc.org.uk/location/1-18294169785,www.firstactive365.co.uk,2026-09-01,2026-09-02,2026-09-08,19694
1-8054628056,First Practice Healthcare Ltd,1-144639033,First Practice Healthcare Ltd,Birmingham,B19 3JG,2019-12-19,Requires improvement,2021-04-01,N,Domiciliary care service; Supported living service,Children 0-18 years; Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; People who misuse drugs and alcohol; People with an eating disorder; Physical Disability; Sensory Impairment; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-8054628056,,2026-09-01,2026-09-02,2026-09-08,52510
1-24139654155,Four Oaks Healthcare limited,1-1979170299,Four Oaks Healthcare Ltd,Birmingham,B24 9FD,2025-07-24,Good,2021-05-26,Y,Community health care services - Nurses Agency only; Domiciliary care service,Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Sensory Impairment; Younger Adults,N,2,1,https://www.cqc.org.uk/location/1-24139654155,www.fouroakshealthcare.co.uk,2026-09-01,2026-09-02,2026-09-08,31769
1-120625798,Future Care & Support Service,1-101691942,Future Health And Social Care Association C.I.C.,Birmingham,B16 8QG,2010-12-08,Requires improvement,2019-05-08,N,Domiciliary care service; Supported living service,Children 0-18 years; Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Sensory Impairment; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-120625798,www.futurehsc.com,2026-09-01,2026-09-02,2026-09-08,5985
1-9787406861,GND Care Ltd,1-9111204325,GND Care Ltd,Birmingham,B12 9AD,2020-10-30,,,,Domiciliary care service,Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment,N,1,1,https://www.cqc.org.uk/location/1-9787406861,,2026-09-01,2026-09-02,2026-09-08,54983
1-19607894572,GECKO CARE LTD,1-18225726044,Gecko Care Ltd,Birmingham,B20 2QS,2024-07-08,,,,Domiciliary care service; Supported living service,Dementia; Mental Health; Older People; People who misuse drugs and alcohol; People with an eating disorder; Physical Disability; Sensory Impairment; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-19607894572,,2026-09-01,2026-09-02,2026-09-08,22888
1-9481783785,Generation Healthcare Limited,1-8762069415,Generation Healthcare UK Limited,Birmingham,B15 1TH,2020-09-17,,,,Domiciliary care service; Supported living service,Children 0-18 years; Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; People who misuse drugs and alcohol; People with an eating disorder; Physical Disability; Sensory Impairment; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-9481783785,www.webmail.generationhealthcare.co.uk,2026-09-01,2026-09-02,2026-09-08,54438
1-4840431805,Global Excellence Services Limited,1-2858095216,Global Excellence Services Limited,Birmingham,B18 7AF,2018-02-09,Good,2022-04-06,N,Domiciliary care service; Supported living service,Dementia; Learning disabilities or autistic spectrum disorder; Older People; Physical Disability; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-4840431805,,2026-09-01,2026-09-02,2026-09-08,42955
1-10233651067,Goldcrest Healthcare Service (Midlands),1-3538801761,Goldcrest Healthcare Service Limited,Birmingham,B12 0DU,2021-02-03,Good,2024-02-28,N,Domiciliary care service; Supported living service,Children 0-18 years; Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Sensory Impairment; Younger Adults,Y,6,2,https://www.cqc.org.uk/location/1-10233651067,www.goldcresthealthcareservice.com,2026-09-01,2026-09-02,2026-09-08,319
1-15308166952,Goldcrest Heathcare Service (Birmingham),1-3538801761,Goldcrest Healthcare Service Limited,Birmingham,B10 0NR,2023-03-28,Not Rated,,N,Domiciliary care service; Supported living service,Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Younger Adults,Y,6,2,https://www.cqc.org.uk/location/1-15308166952,www.goldcresthealthcareservice.com,2026-09-01,2026-09-02,2026-09-08,15908
1-18721286859,Golden Support - Main Office,1-17188695956,Golden Support Limited,Birmingham,B23 6BG,2024-02-16,,,,Domiciliary care service; Supported living service,Dementia; Mental Health; Older People; Physical Disability; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-18721286859,www.goldensupport.co.uk,2026-09-01,2026-09-02,2026-09-08,20351
1-17194842735,Good Shepherd Domiciliary Care,1-13925432700,Good Shepherd 4 You Ltd,Birmingham,B1 1QU,2023-10-06,,,,Domiciliary care service; Rehabilitation services; Supported living service,Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Sensory Impairment; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-17194842735,,2026-09-01,2026-09-02,2026-09-08,18173
1-2110440533,GHS - Aston,1-468860629,Graceful Healthcare Services Ltd,Birmingham,B6 4PL,2015-06-25,Requires improvement,2023-05-31,N,Domiciliary care service; Supported living service,Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Sensory Impairment; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-2110440533,www.myghs.uk,2026-09-01,2026-09-02,2026-09-08,26991
1-16420866507,Gracious Ten Healthcare LTD,1-14746176601,Gracious Ten Healthcare Ltd,Birmingham,B18 7AF,2023-06-27,,,,Domiciliary care service; Supported living service,Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-16420866507,,2026-09-01,2026-09-02,2026-09-08,17305
1-3310949311,Ghulab Ashram,1-101653596,GreenSquareAccord Limited,Birmingham,B28 8SR,2017-03-31,Good,2018-05-31,N,Domiciliary care service; Supported living service,Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Sensory Impairment,Y,7,1,https://www.cqc.org.uk/location/1-3310949311,www.greensquareaccord.co.uk,2026-09-01,2026-09-02,2026-09-08,39306
1-3102351987,Guardian Supported Living Ltd,1-3087758739,Guardian Supported Living Limited,Birmingham,B27 7YE,2017-02-03,Not Rated,,N,Domiciliary care service; Supported living service,Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Physical Disability; Sensory Impairment; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-3102351987,www.guardiansl.com,2026-09-01,2026-09-02,2026-09-08,38634
1-23017617450,HLR 24/7 LTD BIRMINGHAM,1-21296141635,HLR 24 7 Ltd,Birmingham,B28 8AY,2025-04-30,,,,Domiciliary care service,Dementia; Older People; Physical Disability; Younger Adults,N,2,1,https://www.cqc.org.uk/location/1-23017617450,www.hlrltd.com,2026-09-01,2026-09-02,2026-09-08,30282
1-165023071,Hafod Care in the Community,1-101708686,Hafod Care Organisation Limited,Birmingham,B74 2PR,2011-03-10,Requires improvement,2021-01-06,N,Domiciliary care service,Dementia; Older People; People who misuse drugs and alcohol; Physical Disability; Sensory Impairment; Younger Adults,N,1,1,https://www.cqc.org.uk/location/1-165023071,,2026-09-01,2026-09-02,2026-09-08,17484
1-19272909269,Hamilton Wellness,1-17967272711,Hamilton Wellness Limited,Birmingham,B32 2QS,2024-07-15,,,,Domiciliary care service; Supported living service,Dementia; Older People; Physical Disability; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-19272909269,,2026-09-01,2026-09-02,2026-09-08,21926
1-15866949068,Hand of Care Ltd,1-15010269434,Hand of Care Ltd,Birmingham,B44 0ND,2023-06-21,,,,Domiciliary care service,Dementia; Older People; Physical Disability; Sensory Impairment; Younger Adults,N,1,1,https://www.cqc.org.uk/location/1-15866949068,,2026-09-01,2026-09-02,2026-09-08,16670
1-15047592226,Happy Care Living,1-11854258778,Happy Care Living Ltd,Birmingham,B23 6TE,2023-02-20,,,,Domiciliary care service; Supported living service,Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Sensory Impairment; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-15047592226,www.happycareliving.co.uk,2026-09-01,2026-09-02,2026-09-08,15286
1-219868146,Hasbury Home Care Services Limited,1-149194294,Hasbury Home Care Services Ltd,Birmingham,B30 1DN,2011-03-22,Requires improvement,2019-09-24,N,Domiciliary care service; Supported living service,Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; People who misuse drugs and alcohol; People with an eating disorder; Physical Disability; Sensory Impairment; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-219868146,,2026-09-01,2026-09-02,2026-09-08,28417
1-1121614863,Leighton House,1-986606782,Headway Birmingham & Solihull,Birmingham,B45 9SN,2013-12-10,Good,2019-04-17,N,Domiciliary care service,Learning disabilities or autistic spectrum disorder; Physical Disability,N,1,1,https://www.cqc.org.uk/location/1-1121614863,www.headway-wm.org.uk,2026-09-01,2026-09-02,2026-09-08,2551
1-21725524987,Heaven Support Services Limited,1-16574145322,Heaven Support Services Limited,Birmingham,B23 6RS,2025-02-12,,,,Domiciliary care service; Supported living service,Children 0-18 years; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Sensory Impairment; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-21725524987,www.heavensupportservicesltd.co.uk,2026-09-01,2026-09-02,2026-09-08,27912
1-417039648,Hebe Healthcare Limited,1-403886198,Hebe Healthcare Limited,Birmingham,B17 8DP,2012-04-30,Good,2018-09-29,N,Domiciliary care service; Supported living service,Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-417039648,,2026-09-01,2026-09-02,2026-09-08,41228
1-14540859231,Henola Care Ltd,1-11951559462,Henola Care Ltd,Birmingham,B18 6NF,2023-01-13,,,,Domiciliary care service; Supported living service,Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-14540859231,www.henolacare.com,2026-09-01,2026-09-02,2026-09-08,14275
1-3618718602,Holistic Social Care Birmingham,1-1707514984,Holistic Social Care Services Ltd,Birmingham,B12 0DU,2017-05-17,Good,2019-05-14,N,Domiciliary care service,Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Sensory Impairment; Younger Adults,N,3,1,https://www.cqc.org.uk/location/1-3618718602,www.holisticsocialcare.org,2026-09-01,2026-09-02,2026-09-08,39875
1-22156393048,Walfinch Sutton Coldfield,1-20708631678,Home Sweet Care Ltd,Birmingham,B75 5BT,2025-03-14,,,,Domiciliary care service,Older People; Younger Adults,N,1,1,https://www.cqc.org.uk/location/1-22156393048,www.walfinch.com/branches/sutton-coldfield,2026-09-01,2026-09-02,2026-09-08,29051
1-2255899500,Cera Birmingham North,1-184856305,Homecare4U Limited,Birmingham,B73 5TT,2015-10-16,Good,2021-07-16,N,Domiciliary care service; Extra Care housing services,Children 0-18 years; Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Sensory Impairment; Younger Adults,N,4,1,https://www.cqc.org.uk/location/1-2255899500,www.homecare4u.info,2026-09-01,2026-09-02,2026-09-08,29666
1-15119779487,House of Caring Ltd,1-12923867212,House Of Caring Ltd,Birmingham,B12 0JU,2023-03-08,,,,Domiciliary care service; Supported living service,Children 0-18 years; Dementia; Older People; Physical Disability; Younger Adults,Y,2,1,https://www.cqc.org.uk/location/1-15119779487,www.houseofcaring.co.uk,2026-09-01,2026-09-02,2026-09-08,15442
1-15550434100,IHI Care Services (South Birmingham),1-169108875,IHI Care Services Limited,Birmingham,B14 7NG,2023-04-28,,,,Domiciliary care service,Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Younger Adults,N,2,2,https://www.cqc.org.uk/location/1-15550434100,,2026-09-01,2026-09-02,2026-09-08,16331
1-356657455,IHI Care Services Limited,1-169108875,IHI Care Services Limited,Birmingham,B14 7SW,2012-02-17,Good,2022-05-10,N,Domiciliary care service,Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; People with an eating disorder; Physical Disability; Sensory Impairment; Younger Adults,N,2,2,https://www.cqc.org.uk/location/1-356657455,,2026-09-01,2026-09-02,2026-09-08,39723
1-6119182031,Iconic Care Limited,1-5800081600,Iconic Care Limited,Birmingham,B45 9AH,2018-12-05,Good,2022-04-09,N,Domiciliary care service; Supported living service,Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Sensory Impairment; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-6119182031,www.iconiccare.co.uk,2026-09-01,2026-09-02,2026-09-08,49320
1-5459812347,Impacting Lives Care and Support Limited,1-5371687021,Impacting Lives Care and Support Limited,Birmingham,B42 2TX,2018-12-07,Good,2021-07-17,N,Domiciliary care service; Supported living service,Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Sensory Impairment; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-5459812347,www.impactinglivescs.co.uk,2026-09-01,2026-09-02,2026-09-08,45559
1-2280337989,Impacting Lives Limited,1-101656854,Impacting Lives Limited,Birmingham,B42 2TX,2015-11-09,Good,2019-06-07,N,Domiciliary care service; Supported living service,Learning disabilities or autistic spectrum disorder; Mental Health; Physical Disability; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-2280337989,www.impactinglives.co.uk,2026-09-01,2026-09-02,2026-09-08,29941
1-4933444329,Inn Care Ltd,1-4361873340,Inn Care Limited,Birmingham,B10 0NR,2018-03-05,Good,2021-06-16,N,Domiciliary care service; Supported living service,Older People; Physical Disability; Younger Adults,Y,2,1,https://www.cqc.org.uk/location/1-4933444329,www.inncareservices.co.uk,2026-09-01,2026-09-02,2026-09-08,43165
1-12877967110,Innovate Domiciliary Care Ltd,1-11679485308,Innovate Domiciliary Care Ltd,Birmingham,B17 9JX,2022-04-01,,,,Domiciliary care service,Dementia; Learning disabilities or autistic spectrum disorder; Older People; Physical Disability; Younger Adults,N,1,1,https://www.cqc.org.uk/location/1-12877967110,,2026-09-01,2026-09-02,2026-09-08,9609
1-11005278255,Inspire You Care Ltd,1-4119149401,Inspire You Care Ltd,Birmingham,B16 9NX,2021-06-04,Good,2023-12-20,N,Domiciliary care service; Supported living service,Children 0-18 years; Dementia; Learning disabilities or autistic spectrum disorder; Mental Health; Older People; Physical Disability; Younger Adults,Y,1,1,https://www.cqc.org.uk/location/1-11005278255,,2026-09-01,2026-09-02,2026-09-08,1947
1-17190025195,Inventive Care Services Ltd,1-15226765160,Inventive Care Services Ltd,Birmingham,B33 9AE,2023-09-11,,,,Domiciliary care service,Older People; Younger Adults,N,1,1,https://www.cqc.org.uk/location/1-17190025195,www.inventivecareservices.co.uk,2026-09-01,2026-09-02,2026-09-08,18121
1-16954979936,Izzy Care Solutions Limited,1-15309385482,Izzy Care Solutions Ltd,Birmingham,B1 1QU,2023-08-22,,,,Domiciliary care service,Dementia; Older People; Physical Disability; Sensory Impairment; Younger Adults,N,1,1,https://www.cqc.org.uk/location/1-16954979936,,2026-09-01,2026-09-02,2026-09-08,17853
